Date,Borough,Check Row,Open Backlog EOP,EOP PHONE
2026-05-31,BRONX,1,28863,11942
2026-05-31,BROOKLYN,1,46999,15929
2026-05-31,MANHATTAN,1,41219,8577
2026-05-31,QUEENS,1,46176,14285
2026-05-31,STATEN ISLAND,1,5882,2130
2026-05-31,UNKNOWN,1,669,167
2026-06-30,BRONX,1,25157,8984
2026-06-30,BROOKLYN,1,46227,14556
2026-06-30,MANHATTAN,1,41655,7925
2026-06-30,QUEENS,1,47936,15436
2026-06-30,STATEN ISLAND,1,6167,2248
2026-06-30,UNKNOWN,1,755,171
2026-07-31,BRONX,1,28109,10250
2026-07-31,BROOKLYN,1,51631,16398
2026-07-31,MANHATTAN,1,43264,8394
2026-07-31,QUEENS,1,49327,16305
2026-07-31,STATEN ISLAND,1,6731,2425
2026-07-31,UNKNOWN,1,809,185
2026-08-31,BRONX,1,33139,12714
2026-08-31,BROOKLYN,1,58654,19218
2026-08-31,MANHATTAN,1,43974,8674
2026-08-31,QUEENS,1,49698,16870
2026-08-31,STATEN ISLAND,1,7496,2676
2026-08-31,UNKNOWN,1,876,191
2026-09-30,BRONX,1,,
2026-09-30,BROOKLYN,1,,
2026-09-30,MANHATTAN,1,,
2026-09-30,QUEENS,1,,
2026-09-30,STATEN ISLAND,1,,
2026-09-30,UNKNOWN,1,,
2026-10-31,BRONX,1,,
2026-10-31,BROOKLYN,1,,
2026-10-31,MANHATTAN,1,,
2026-10-31,QUEENS,1,,
2026-10-31,STATEN ISLAND,1,,
2026-10-31,UNKNOWN,1,,
2026-11-30,BRONX,1,,
2026-11-30,BROOKLYN,1,,
2026-11-30,MANHATTAN,1,,
2026-11-30,QUEENS,1,,
2026-11-30,STATEN ISLAND,1,,
2026-11-30,UNKNOWN,1,,
2026-12-31,BRONX,1,,
2026-12-31,BROOKLYN,1,,
2026-12-31,MANHATTAN,1,,
2026-12-31,QUEENS,1,,
2026-12-31,STATEN ISLAND,1,,
2026-12-31,UNKNOWN,1,,
